CADENA;COD;DESCRIPCION;MARCA;COD LOCAL;DESCRIPCION LOCAL;FORMATO;VTA;STOCK;DESCRIPCION LOCAL2
CENCOSUD.xlsx;990803;CANELA EN POLVO BAIDA X16OZ;BADIA;T102;Wong Ovalo Gutierrez;WONG;15;20;WONG OVALO GUTIERREZ
CENCOSUD.xlsx;713786;MOSTAZA A LA MIEL MAILLE 230 GR;MAILLE;T102;Wong Ovalo Gutierrez;WONG;19;13;WONG OVALO GUTIERREZ
CENCOSUD.xlsx;1001979;MARSHMALLOW ROCKY MOUNTAIN MINI FRU 150G;ROCKY MOUNTAIN;S062;Supermercado Metro Cerro Color;METRO;11;-1;METRO CERRO COLOR
CENCOSUD.xlsx;35225;ROMERO X 0.5 ONZ  BADIA;BADIA;T104;Wong Benavides;WONG;43;29;WONG BENAVIDES
CENCOSUD.xlsx;1001979;MARSHMALLOW ROCKY MOUNTAIN MINI FRU 150G;ROCKY MOUNTAIN;S098;Supermercado Metro Gamarra;METRO;1;0;METRO GAMARRA
CENCOSUD.xlsx;566279;CHOCO LECHE C/ ALMEND 100G RITTER SPORT;RITTER SPORT;T108;Wong La Molina;WONG;11;3;WONG LA MOLINA
CENCOSUD.xlsx;35228; TOMILLO X 0.5 ONZ  BADIA;BADIA;T116;Wong Asia;WONG;23;16;WONG ASIA
CENCOSUD.xlsx;521616009;CONDIMENTOS ORGANICOS BADIA FCO  TOMILL;BADIA;T108;Wong La Molina;WONG;8;85;WONG LA MOLINA
CENCOSUD.xlsx;4841;PIMIENTA NEGRA X 2 OZ BADIA;BADIA;S032;Supermercado Metro Faucett;METRO;20;21;METRO FAUCETT
CENCOSUD.xlsx;35228; TOMILLO X 0.5 ONZ  BADIA;BADIA;S002;Supermercado Metro Jes s Mar a;METRO;44;11;Supermercado Metro Jesus Maria
CENCOSUD.xlsx;521616002;CONDIMENTOS ORGANICOS BA PIMIENTA NEGRA;BADIA;T101;Wong Dos de Mayo;WONG;13;39;WONG DOS DE MAYO
CENCOSUD.xlsx;324768;PIMIENTA NEGRA ENTERA C/MOL BADIA 2.25G;BADIA;T107;Wong San Borja;WONG;28;33;WONG SAN BORJA
CENCOSUD.xlsx;1013264;JALAPE O MOLIDO 2OZ BADIA;BADIA;T104;Wong Benavides;WONG;3;13;WONG BENAVIDES
